! NAME [16] IV - Input = 0 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
-4.53E-04,-3.97E-06,28,0.024724,-27.99762,18.30298,-0.39903,2.73641
0.0011275,2.53E-05,29,0.024804,-19.94811,18.47346,-0.39982,2.83676
0.0011439,-7.53E-06,30,0.024949,-25.22983,18.64805,-0.39815,2.93602
5.78E-04,-1.91E-05,31,0.025032,-21.19569,18.80814,-0.39835,3.03613
6.08E-04,-2.58E-06,32,0.025064,-29.86989,18.95292,-0.39923,3.13503
7.53E-04,-1.50E-05,33,0.025154,-22.2499,19.10537,-0.39815,3.23548
6.41E-04,-1.63E-05,34,0.025215,-21.87016,19.24734,-0.39943,3.33489
7.14E-04,-1.45E-05,35,0.025281,-22.37506,19.38716,-0.39815,3.43492
2.75E-04,-1.16E-05,36,0.025358,-23.35292,19.5254,-0.39717,3.53532
4.82E-04,1.55E-05,37,0.025337,-22.09478,19.64229,-0.39864,3.63477
7.77E-04,-1.58E-05,38,0.025454,-22.0233,19.78003,-0.39786,3.73461
3.46E-04,-1.08E-05,39,0.025492,-23.65537,19.90049,-0.39825,3.83398
6.03E-04,-7.11E-06,40,0.025523,-25.4767,20.01795,-0.39864,3.93423
9.90E-04,-8.31E-06,41,0.025612,-24.804,20.14098,-0.39825,4.03332
6.24E-04,-2.30E-05,42,0.025721,-20.39451,20.26621,-0.39756,4.13369
4.09E-04,-1.89E-05,43,0.025737,-21.2222,20.37314,-0.39835,4.23408
6.12E-04,-2.01E-05,44,0.025802,-20.95998,20.48487,-0.39796,4.33341
4.61E-04,-1.63E-05,45,0.025859,-21.87257,20.59375,-0.39825,4.43367
5.28E-04,-1.48E-05,46,0.025894,-22.29834,20.6957,-0.39786,4.53281
5.63E-04,-1.49E-05,47,0.025965,-22.27231,20.80247,-0.39815,4.63305
4.98E-04,-1.14E-05,48,0.026007,-23.42649,20.90265,-0.39845,4.7334
5.29E-04,-2.17E-05,49,0.026064,-20.62444,21.00224,-0.39854,4.83264
4.86E-04,-1.32E-05,50,0.026113,-22.80505,21.09976,-0.39766,4.93315
,,,,,,,
! NAME [16] IV - Input = -0.5 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.065302,-5.68E-06,0,-5.72E-04,-25.48188,-23.54258,-0.49862,-0.007732
0.054703,4.58E-06,1,0.0045992,-26.40806,-4.83266,-0.4997,0.071458
0.033834,-7.34E-06,2,0.0086681,-24.37047,1.51946,-0.49803,0.16369
0.017191,-1.70E-05,3,0.010937,-20.71987,4.53807,-0.49803,0.25997
0.0086598,-3.74E-06,4,0.011987,-27.29383,6.31405,-0.49833,0.35702
0.004951,-1.65E-05,5,0.012631,-20.8468,7.60531,-0.49842,0.45614
0.0035506,-6.91E-06,6,0.012968,-24.61819,8.57205,-0.4994,0.55506
0.0037839,-5.14E-06,7,0.013335,-25.91519,9.40895,-0.49882,0.65448
0.0038726,-1.60E-05,8,0.013717,-20.98751,10.14132,-0.49891,0.75312
0.0041761,-1.03E-05,9,0.014101,-22.88422,10.79838,-0.49882,0.85229
0.0048847,-2.12E-05,10,0.014549,-19.74874,11.4161,-0.49911,0.95229
0.0046773,-3.48E-05,11,0.015065,-17.60077,11.99106,-0.49862,1.04986
0.0039127,-1.10E-05,12,0.015473,-22.59734,12.50284,-0.49921,1.15006
0.0028919,-1.85E-05,13,0.015846,-20.34845,12.96614,-0.49833,1.24938
0.0016473,-2.21E-07,14,0.01605,-39.58009,13.35804,-0.49842,1.35001
9.36E-04,-9.62E-06,15,0.016178,-23.18624,13.70462,-0.49901,1.45061
4.44E-04,-1.14E-05,16,0.016237,-22.47335,14.00938,-0.49793,1.55032
1.25E-04,-1.18E-05,17,0.016266,-22.29831,14.29128,-0.49803,1.65134
1.47E-04,-2.23E-06,18,0.016263,-29.53598,14.54479,-0.49833,1.751
1.07E-04,-3.04E-05,19,0.016296,-18.19485,14.79616,-0.49852,1.85155
-8.65E-05,-3.13E-05,20,0.016284,-18.07293,15.02075,-0.49813,1.95122
-3.08E-05,-1.44E-05,21,0.016279,-21.44034,15.23759,-0.49774,2.05182
-1.91E-04,-1.14E-05,22,0.016278,-22.46823,15.44529,-0.49852,2.15241
9.05E-05,-8.77E-06,23,0.016241,-23.5884,15.63199,-0.49901,2.25216
0.001045,-2.17E-05,24,0.016297,-19.66351,15.83662,-0.49901,2.35269
0.0012154,-2.32E-05,25,0.016449,-19.35909,16.05705,-0.49872,2.45224
9.22E-04,-2.38E-05,26,0.016539,-19.26238,16.25475,-0.49833,2.55247
8.08E-04,-2.47E-05,27,0.016633,-19.08246,16.44497,-0.49911,2.65171
8.36E-04,-1.50E-05,28,0.0167,-21.25438,16.62387,-0.49813,2.75209
9.79E-04,-1.69E-05,29,0.016801,-20.74154,16.80576,-0.49784,2.85262
8.18E-04,-1.68E-05,30,0.016896,-20.76285,16.9788,-0.49882,2.95186
8.49E-04,-1.83E-05,31,0.016964,-20.39651,17.14133,-0.49803,3.05216
6.09E-04,-2.53E-05,32,0.017065,-19.00191,17.30588,-0.49833,3.15122
4.15E-04,-1.12E-05,33,0.017085,-22.52578,17.44732,-0.49872,3.25177
5.66E-04,-1.62E-05,34,0.017148,-20.93874,17.59401,-0.49852,3.35114
6.34E-04,-1.47E-05,35,0.017198,-21.33886,17.73437,-0.49882,3.45115
6.52E-04,-3.01E-06,36,0.017275,-28.23926,17.87853,-0.49882,3.55169
7.88E-04,-1.66E-05,37,0.017328,-20.81213,18.01138,-0.49891,3.65079
6.08E-04,-1.69E-05,38,0.017432,-20.74788,18.1541,-0.49823,3.75034
3.06E-04,-1.06E-05,39,0.017449,-22.75608,18.27184,-0.49882,3.84958
5.08E-04,-1.27E-05,40,0.017493,-21.98871,18.39453,-0.49744,3.94995
2.96E-04,-1.27E-05,41,0.01755,-21.99401,18.51631,-0.49833,4.04899
6.14E-04,6.24E-06,42,0.017552,-25.06774,18.62313,-0.49901,4.14953
8.13E-04,-2.52E-05,43,0.017674,-19.01773,18.75722,-0.49803,4.25005
2.36E-04,-1.72E-05,44,0.017714,-20.66618,18.86762,-0.49744,4.34946
3.85E-04,4.36E-07,45,0.017721,-36.62573,18.96763,-0.49882,4.44923
6.80E-04,1.56E-06,46,0.017791,-31.09492,19.08084,-0.49882,4.54866
4.73E-04,-2.25E-05,47,0.017856,-19.49781,19.1915,-0.49882,4.64896
3.31E-04,7.84E-07,48,0.017886,-34.07914,19.29159,-0.49862,4.74948
5.53E-04,-6.61E-06,49,0.017923,-24.82443,19.39013,-0.49852,4.84858
7.37E-04,-1.77E-05,50,0.017997,-20.54659,19.49703,-0.49793,4.94897
,,,,,,,
! NAME [16] IV - Input = -0.6 V,,,,,,,
