! NAME [11] IV - Input = 0 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.046635,-5.88E-07,1,0.0059118,-35.31652,-2.28276,-0.5,0.1
0.025084,-6.44E-07,2,0.0093341,-34.92145,2.71101,-0.5,0.2
0.011469,-6.98E-07,3,0.010929,-34.57176,5.15703,-0.5,0.3
0.0053681,-7.53E-07,4,0.011628,-34.24235,6.67559,-0.5,0.4
0.0031694,-8.09E-07,5,0.012003,-33.9308,7.78245,-0.5,0.5
0.002343,-8.69E-07,6,0.012262,-33.6201,8.66708,-0.5,0.6
0.002382,-9.24E-07,7,0.012471,-33.35355,9.41006,-0.5,0.7
0.0028185,-9.86E-07,8,0.012738,-33.07151,10.08198,-0.5,0.8
0.0026725,-1.04E-06,9,0.013035,-32.83162,10.6935,-0.5,0.9
0.001994,-1.10E-06,10,0.013273,-32.5806,11.22959,-0.5,1
0.0012745,-1.16E-06,11,0.013434,-32.36197,11.69588,-0.5,1.1
7.83E-04,-1.23E-06,12,0.013528,-32.12539,12.10403,-0.5,1.2
5.84E-04,-1.29E-06,13,0.01359,-31.91114,12.47176,-0.5,1.3
5.38E-04,-1.35E-06,14,0.013644,-31.71018,12.81082,-0.5,1.4
8.06E-04,-1.42E-06,15,0.013698,-31.50273,13.12745,-0.5,1.5
0.001209,-1.48E-06,16,0.013806,-31.31356,13.44179,-0.5,1.6
0.0013275,-1.55E-06,17,0.01394,-31.11821,13.74702,-0.5,1.7
0.0013005,-1.61E-06,18,0.014071,-30.93665,14.03604,-0.5,1.8
0.00122,-1.68E-06,19,0.0142,-30.75979,14.31036,-0.5,1.9
0.0011295,-1.75E-06,20,0.014315,-30.57744,14.56827,-0.5,2
0.0010745,-1.82E-06,21,0.014426,-30.40482,14.81356,-0.5,2.1
0.001034,-1.89E-06,22,0.01453,-30.24338,15.04691,-0.5,2.2
0.0010225,-1.97E-06,23,0.014633,-30.07446,15.27046,-0.5,2.3
0.0010015,-2.04E-06,24,0.014735,-29.92038,15.4855,-0.5,2.4
9.88E-04,-2.11E-06,25,0.014833,-29.75924,15.69163,-0.5,2.5
9.83E-04,-2.19E-06,26,0.014932,-29.60783,15.89094,-0.5,2.6
9.60E-04,-2.27E-06,27,0.015029,-29.45769,16.08303,-0.5,2.7
9.50E-04,-2.35E-06,28,0.015124,-29.30703,16.26828,-0.5,2.8
9.44E-04,-2.42E-06,29,0.015219,-29.16856,16.44793,-0.5,2.9
